Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor,Year
38,Yesterday,"$73,286,650",2755,"$73,286,650",Jun 28,Universal Pictures,2019
39,A Madea Family Funeral,"$73,257,045",2442,"$73,257,045",Mar 1,Lionsgate,2019
40,Zombieland: Double Tap,"$72,930,156",3468,"$73,123,082",Oct 18,Sony Pictures Releasing,2019
41,Angel Has Fallen,"$69,030,436",3336,"$69,030,436",Aug 23,Lionsgate,2019
42,Scary Stories to Tell in the Dark,"$68,947,075",3135,"$68,947,075",Aug 9,Lionsgate,2019
43,Mary Poppins Returns,"$66,027,977",4090,"$171,958,438",Dec 19,Walt Disney Studios Motion Pictures,2019
44,X-Men: Dark Phoenix,"$65,845,974",3721,"$65,845,974",Jun 7,Twentieth Century Fox,2019
45,Terminator: Dark Fate,"$62,253,077",4086,"$62,253,077",Nov 1,Paramount Pictures,2019
46,Abominable,"$60,679,265",4248,"$60,716,390",Sep 27,Universal Pictures,2019
47,Dora and the Lost City of Gold,"$60,477,943",3735,"$60,477,943",Aug 9,Paramount Pictures,2019
48,Escape Room,"$57,005,601",2717,"$57,005,601",Jan 4,Sony Pictures Releasing,2019
49,A Beautiful Day in the Neighborhood,"$56,706,993",3491,"$61,704,055",Nov 22,Sony Pictures Releasing,2019
50,Midway,"$56,279,164",3242,"$56,846,802",Nov 8,Lionsgate,2019
51,Bumblebee,"$55,769,470",3597,"$127,195,589",Dec 21,Paramount Pictures,2019
52,The Curse of la Llorona,"$54,733,739",3372,"$54,733,739",Apr 19,Warner Bros.,2019
53,Pet Sematary,"$54,724,696",3585,"$54,724,696",Apr 5,Paramount Pictures,2019
54,What Men Want,"$54,611,903",2912,"$54,611,903",Feb 8,Paramount Pictures,2019
55,Green Book,"$52,927,165",2648,"$85,080,171",Nov 16,Universal Pictures,2019
56,Ad Astra,"$50,188,370",3460,"$50,188,370",Sep 20,Twentieth Century Fox,2019
57,Isn't It Romantic,"$48,791,187",3444,"$48,791,187",Feb 13,Warner Bros.,2019
58,Gemini Man,"$48,546,770",3642,"$48,546,770",Oct 11,Paramount Pictures,2019
59,Ma,"$45,896,028",2816,"$45,896,028",May 31,Universal Pictures,2019
60,Five Feet Apart,"$45,729,221",2866,"$45,729,221",Mar 15,Lionsgate,2019
61,Wonder Park,"$45,216,793",3838,"$45,216,793",Mar 15,Paramount Pictures,2019
62,Rambo: Last Blood,"$44,819,352",3618,"$44,819,352",Sep 20,Lionsgate,2019
63,Playing with Fire,"$44,151,387",3185,"$44,451,847",Nov 8,Paramount Pictures,2019
64,Harriet,"$42,547,700",2186,"$43,082,155",Nov 1,Focus Features,2019
65,A Dog's Way Home,"$42,004,346",3090,"$42,004,346",Jan 11,Sony Pictures Releasing,2019
66,The Angry Birds Movie 2,"$41,667,116",3869,"$41,667,116",Aug 13,Sony Pictures Releasing,2019
67,Little,"$40,860,481",2667,"$40,860,481",Apr 12,Universal Pictures,2019
68,Queen & Slim,"$40,718,945",1715,"$43,808,310",Nov 27,Universal Pictures,2019
69,Breakthrough,"$40,713,082",2913,"$40,713,082",Apr 17,Twentieth Century Fox,2019
70,The Mule,"$39,084,073",3329,"$103,804,407",Dec 14,Warner Bros.,2019
71,Crawl,"$39,014,193",3170,"$39,014,193",Jul 12,Paramount Pictures,2019
72,Little Women,"$37,593,127",3308,"$108,101,214",Dec 25,Sony Pictures Releasing,2019
73,The Intruder,"$35,419,122",2231,"$35,419,122",May 3,Screen Gems,2019
74,The Hustle,"$35,417,038",3077,"$35,417,038",May 10,United Artists Releasing,2019
75,Last Christmas,"$35,116,450",3454,"$35,150,750",Nov 8,Universal Pictures,2019
76,Overcomer,"$34,746,945",2293,"$34,746,945",Aug 23,Affirm Films,2019
77,Cold Pursuit,"$32,138,862",2630,"$32,138,862",Feb 8,Lionsgate,2019
78,Doctor Sleep,"$31,543,097",3855,"$31,581,712",Nov 8,Warner Bros.,2019
79,Dragon Ball Super: Broly,"$30,712,119",1267,"$30,712,119",Jan 16,FUNimation Entertainment,2019
80,Long Shot,"$30,316,271",3230,"$30,316,271",May 3,Lionsgate,2019
81,Spies in Disguise,"$29,323,688",3502,"$66,757,013",Dec 25,Twentieth Century Fox,2019
82,Child's Play,"$29,208,403",3007,"$29,208,403",Jun 21,United Artists Releasing,2019
83,Ready or Not,"$28,714,231",2998,"$28,714,231",Aug 21,Fox Searchlight Pictures,2019
84,Happy Death Day 2U,"$28,148,130",3212,"$28,148,130",Feb 13,Universal Pictures,2019
85,Vice,"$28,060,115",2534,"$47,836,282",Dec 25,Annapurna Pictures,2019
86,21 Bridges,"$27,747,269",2665,"$28,539,757",Nov 22,STX Entertainment,2019
87,Midsommar,"$27,426,361",2707,"$27,426,361",Jul 3,A24,2019
88,Bohemian Rhapsody,"$26,614,909",4000,"$216,428,042",Nov 2,Twentieth Century Fox,2019
89,The Art of Racing in the Rain,"$26,395,642",2765,"$26,395,642",Aug 9,Twentieth Century Fox,2019
90,Countdown,"$25,594,369",2675,"$25,621,766",Oct 25,STX Entertainment,2019
91,Uncut Gems,"$25,253,119",2686,"$50,023,780",Dec 13,A24,2019
92,Judy,"$24,017,545",1627,"$24,313,888",Sep 27,Roadside Attractions,2019
93,Ralph Breaks the Internet,"$23,474,857",4017,"$201,091,711",Nov 21,Walt Disney Studios Motion Pictures,2019
94,Fighting with My Family,"$22,958,886",2855,"$22,958,886",Feb 14,Metro-Goldwyn-Mayer (MGM),2019
95,On the Basis of Sex,"$22,946,065",1957,"$24,622,687",Dec 25,Focus Features,2019
96,A Dog's Journey,"$22,782,371",3279,"$22,782,371",May 17,Universal Pictures,2019
97,Booksmart,"$22,680,962",2518,"$22,680,962",May 24,United Artists Releasing,2019
98,Parasite,"$22,633,689",2001,"$53,369,749",Oct 11,Neon,2019
99,Stuber,"$22,370,452",3050,"$22,370,452",Jul 12,Twentieth Century Fox,2019
100,47 Meters Down: Uncaged,"$22,260,900",2883,"$22,260,900",Aug 16,Entertainment Studios Motion Pictures,2019
101,Black and Blue,"$22,047,506",2062,"$22,055,313",Oct 25,Screen Gems,2019
102,Hellboy,"$21,903,748",3303,"$21,903,748",Apr 12,Lionsgate,2019
103,Shaft,"$21,360,215",2952,"$21,360,215",Jun 14,Warner Bros.,2019
104,Jojo Rabbit,"$21,059,726",1173,"$33,370,906",Oct 18,Fox Searchlight Pictures,2019
105,The Peanut Butter Falcon,"$20,457,151",1490,"$20,457,151",Aug 9,Roadside Attractions,2019
106,UglyDolls,"$20,150,241",3652,"$20,150,241",May 3,STX Entertainment,2019
107,Cats,"$19,970,095",3380,"$27,166,770",Dec 20,Universal Pictures,2019
108,Unplanned,"$19,006,109",1516,"$19,005,109",Mar 29,Pure Flix Entertainment,2019
109,The Favourite,"$18,478,318",1554,"$34,366,783",Nov 23,Fox Searchlight Pictures,2019
110,Bombshell,"$18,117,885",1721,"$31,762,808",Dec 13,Lionsgate,2019
111,Richard Jewell,"$17,822,217",2502,"$22,345,542",Dec 13,Warner Bros.,2019
112,Charlie's Angels,"$17,756,400",3452,"$17,803,077",Nov 15,Sony Pictures Releasing,2019
113,The Farewell,"$17,695,781",891,"$17,695,781",Jul 12,A24,2019
114,Brightburn,"$17,300,439",2607,"$17,300,439",May 24,Screen Gems,2019
115,The Good Liar,"$16,973,279",2454,"$17,156,058",Nov 15,Warner Bros.,2019
116,The Kid Who Would Be King,"$16,790,790",3528,"$16,790,790",Jan 25,Twentieth Century Fox,2019
117,Missing Link,"$16,649,539",3437,"$16,649,539",Apr 12,United Artists Releasing,2019
118,Second Act,"$15,737,285",2607,"$39,282,227",Dec 21,STX Entertainment,2019
119,Late Night,"$15,499,454",2220,"$15,499,454",Jun 7,Amazon Studios,2019
120,Miss Bala,"$15,006,824",2203,"$15,006,824",Feb 1,Sony Pictures Releasing,2019
121,The Prodigy,"$14,856,291",2530,"$14,856,291",Feb 8,Orion Pictures,2019
122,A Star Is Born,"$14,130,981",3904,"$215,288,866",Oct 5,Warner Bros.,2019
123,Poms,"$13,631,124",2750,"$13,631,124",May 10,STX Entertainment,2019
124,If Beale Street Could Talk,"$12,786,569",1018,"$14,915,773",Dec 14,Annapurna Pictures,2019
126,The Kitchen,"$12,180,032",2745,"$12,180,032",Aug 9,Warner Bros.,2019
127,After,"$12,138,565",2138,"$12,138,565",Apr 12,Aviron Pictures,2019
128,Blinded by the Light,"$11,901,145",2307,"$11,901,145",Aug 16,Warner Bros.,2019
129,The Lighthouse,"$10,772,524",978,"$10,867,104",Oct 18,A24,2019
130,Dark Waters,"$10,633,879",2112,"$11,136,084",Nov 22,Focus Features,2019
131,Greta,"$10,532,219",2417,"$10,532,219",Mar 1,Focus Features,2019
132,The Best of Enemies,"$10,205,616",1705,"$10,205,616",Apr 5,STX Entertainment,2019
133,Black Christmas,"$9,867,670",2625,"$10,429,730",Dec 13,Universal Pictures,2019
134,Hotel Mumbai,"$9,651,611",930,"$9,651,611",Mar 22,Bleecker Street Media,2019
135,Holmes & Watson,"$9,324,376",2780,"$30,573,626",Dec 25,Sony Pictures Releasing,2019
136,Motherless Brooklyn,"$9,277,736",1342,"$9,277,736",Nov 1,Warner Bros.,2019
137,No Manches Frida 2,"$9,270,920",472,"$9,270,920",Mar 15,Pantelion Films,2019
138,"Where'd You Go, Bernadette","$9,198,356",2404,"$9,198,356",Aug 16,United Artists Releasing,2019
139,Apollo 11,"$9,039,891",588,"$9,039,891",Mar 1,Neon,2019
140,Serenity,"$8,547,045",2561,"$8,547,045",Jan 25,Aviron Pictures,2019
141,Anna,"$7,743,794",2114,"$7,743,794",Jun 21,Lionsgate,2019
142,Penguins,"$7,699,452",1815,"$7,699,452",Apr 17,Walt Disney Studios Motion Pictures,2019
143,Brittany Runs a Marathon,"$7,189,808",1033,"$7,189,808",Aug 23,Amazon Studios,2019
144,Mary Queen of Scots,"$6,742,269",1052,"$16,468,499",Dec 7,Focus Features,2019
145,The Dead Don't Die,"$6,563,605",690,"$6,563,605",Jun 14,Focus Features,2019
146,Jexi,"$6,546,159",2332,"$6,546,159",Oct 11,Lionsgate,2019
147,Run the Race,"$6,424,420",1075,"$6,424,420",Feb 22,Roadside Attractions,2019
148,Free Solo,"$6,300,518",483,"$17,541,090",Sep 28,National Geographic Entertainment,2019
149,The Current War: Director's Cut,"$5,979,540",1082,"$5,979,540",Oct 25,101 Studios,2019
150,Captive State,"$5,958,315",2549,"$5,958,315",Mar 15,Focus Features,2019
